English Word,Persian Translation,Encyclopedia Translation,User Suggestion
parameterized surface,رویۀ پارامتری‌شده,,
parametric equation,معادلۀ پارامتری,,
parametric linear programming,برنامه‌ریزی خطی پارامتری,,
parametric problems,مسأله‌های پارامتری,,
parametric representation,نمایش پارامتری,,
parametric representation of curve,نمایش پارامتری خم,,
parametric representation of surface,نمایش پارامتری رویه,,
parametrization 1,پارامتری‌سازی,,
parametrization 2,پارامتری‌ساخت، صورت پارامتری,,
parametrized set,مجموعۀ پارامتری‏شده,,
parametrized surface,رویۀ پارامتری‏شده,,
parity,زوجیت، زوجینگی,,
parity of a vertex,زوجیت رأس‌، زوجینگی رأس‌,,
Parseval equation → Parseval equality,,,
Parseval equality = Parseral equation,برابری پارسوال,,
Parseval formula,فرمول پارسوال,,
Parseval identity,اتحاد پاراسوال,,
Parseval relation,رابطهْ پارسوال,,
Parseval theorem,قضیۀ پاراسوال,,
partial association,پیوند جزئی,,
partial autocorrelation,خودهمبستگی جزئی,,
partial confounding,اختلاط جزئی,,
partial correlation,همبستگی جزئی,,
partial correlation coefficient,ضریب همبستگی جزئی,,
partial derivative,مشتق جزئی,,
partial differential equation,معادلۀ دیفرانسیل جزئی,,
partial differential operator,عملگر دیفرانسیل جزئی,,
partial differentiation,مشتق‌گیری جزئی,,
partial fractions,کسرهای جزئی,,
partial graph,گراف جزئی,,
partial mapping of a mapping,نگاشت جزئی نگاشت، جزئاً نگاشت یک نگاشت,,
partial order → partial order relation,,,
partial order relation = partial ordering relation = partial order,رابطۀ ترتیبی جزئی، ترتیب جزئی,,
partial ordering → partial order relation,,,
partial ordering relation → partial order relation,,,
partial solution,جواب جزئی,,
partial sum,مجموع جزئی,,
partially balanced incomplete block design,طرح بلوکی ناکامل جزئاً متعادل,,
partially differentiable function,تابع جزئاً مشتق‌‌پذیر,,
partially ordered set,مجموعۀ جزئاً مرتب,,
particle,ذره,,
particular integral of a differential equation → particular solution of a differential equation,,,
particular solution of a differential equation= particular solution of a differential equation,جواب خصوصی معادلۀ دیفرانسیل، جواب خاص معادلۀ دیفرانسیل,,
partition,افراز,,
partition of a positive integer,افراز عدد صحیح مثبت,,
partition of a set,افراز مجموعه,,
partition of unity,افراز واحد,,
Pascal configuration,پیکربندی پاسکال,,
Pascal distribution,توزیع پاسکال,,
Pascal law,قانون پاسکال,,
Pascal theorem,قضیۀ پاسکال,,
Pascal triangle,مثلث پاسکال,,
Pascals limacon,حلزونی پاسکال,,
passing,گذرنده,,
path,مسیر,,
path connected set = arcwise connected set = pathwise connected set,مجموعۀ مسیریهمبند,,
path homotopy,هم‌جایی مسیری,,
path of integration → contour of integration,,,
pathwise connected set → path connected set,,,
pattern,الگو,,
peak point,نقطۀ قله‌ای,,
peak set,مجموعۀ قله‌ای,,
Peano axioms → Peano postulates,,,
Peano continuum,پیوستار پئانو,,
Peano curves,خم‌های پئانو,,
Peano postulates = Peano axioms,اصل موضوع‌های پئانو,,
Peano space,فضای پئانو,,
Pearson distribution,توزیع پی‌یرسون,,
pedal curve,خم پادکی,,
pedal triangle,مثلث پادکی,,
pencil,دسته,,
pencil of circles,دسته‌دایره,,
pencil of lines,دسته‌خط,,
pencil of planes,دسته‌صفحه,,
pencil of spheres,دسته‌کره,,
Penrose tiling,آجرفرش پنروز,,
pentadecagon,پانزده‏ضلعی,,
pentagon,پنج‏ضلعی,,
pentagonal number,عدد مخمسی,,
percentage,درصد,,
percentage distribution,توزیع درصدی,,
percentile,صدک,,
perfect code,کد تام,,
perfect cube,مکعب کامل,,
perfect differential → complete differential,,,
perfect field,میدان تام,,
perfect graph,گراف تام,,
perfect group,گروه تام,,
perfect n-th power,ام کامل  nتوان,,
perfect number,عدد تام,,
perfect set,مجموعۀ تام,,
perfect square,مربع کامل، مجذور کامل,,
perigon,زاویۀ چهارقائمه، زاویۀ تمام صفحه,,
perimeter,طول محیط,,
period,دوره,,
period interval,بازۀ تناوب,,
period of a repeating decimal,دورۀ کسر دهدهی دوره‌ای، دورۀ کسر اعشاری دوره‌ای,,
period parallelogram,متوازی‌الاضلاع دوره‌ها,,
periodic continued fraction,کسر مسلسل دوره‌ای,,
periodic curve,خم دوره‌ای، خم تناوبی,,
periodic decimal fraction,کسر دهدهی دوره‌ای,,
periodic function,تابع دوره‌ای، تابع تناوبی,,
periodic group,گروه دوره‌ای,,
periodic Markov chain,زنجیر مارکوف دوره‌ای,,
periodic motion,حرکت دوره‌ای,,
periodicity,دوره‌ای بودن، تناوب,,
periodicity of a function,دوره‌ای بودن تابع، تناوب تابع,,
periodogram,دوره‌نما,,
peripheral range,بُرد محیطی,,
peripheral spectrum,طیف محیطی,,
periphery,پیرامون,,
permissible value,مقدار مجاز,,
permutation,جایگشت,,
permutation group,گروه جایگشتی، گروه جایگشت‌ها,,
permutation matrix,ماتریس جایگشتی,,
permutation representation of a group,نمایش جایگشتی گروه,,
permutation tensor,تانسور جایگشت,,
permutation tests,آزمون‌های جایگشتی,,
perpendicular bisector,عمود منصف,,
perpendicular curves,خم‌های متعامد,,
perpendicular lines = orthogonal lines,خط‌های متعامد,,
perpendicular planes,صفحه‌های متعامد,,
perspective,منظر، پرسیکتیو,,
perspective image → central image,,,
perspective mapping,نگاشت منظری,,
perspective projection,تصویرمنظری,,
perturbation,پریشیدگی,,
perturbation function,تابع پریشیدگی,,
perturbation of linear operators,پریشیدگی عملگرهای خطی,,
perturbation theory,نظریۀ پریشیدگی,,
Pffafian differential equation,معادلۀ دیفرانسیل پفافی,,
p-fold exterior power,توان خارجی pتایی,,
phase,فاز,,
phase difference,اختلاف فاز,,
phase of simple harmonic motion,فاز حرکت همساز ساده,,
phase velocity,سرعت فاز,,
Pi,پی، عدد پی,,
picewise continuous function,تابع تکه‌ای‌پیوسته,,
PID → principal ideal domain,,,
pie chart = circular chart,نمودار کلوچه‌ای، نمودار دایره‌ای,,
piecewise approximation,تقریب تکه‌ای,,
piecewise constant function,تابع تکه‌ای‏ثابت,,
piecewise continuous function = sectionally continuos function,تابع تکه‌ای‏پیوسته,,
piecewise linear manifold,خمینۀ تکه‌ای‌خطی,,
piecewise linear mapping,نگاشت تکه‌ایخطی,,
piecewise monotonic function,تابع تکه‌ای‏یکنوا,,
piecewise smooth curve = sectionally smooth curve,خم تکه‌ای‌هموار,,
pigeonhole principle,اصل لانۀ کبوتر,,
pilot survey,بررسی مقدماتی,,
pivot,پاشنه,,
pivotal quantity,کمیت محوری,,
pivoting,پاشنه‌گزینی,,
plan,تصویر افقی [هندسه ترسیمی],,
planar graph,گراف هامنی، گراف مسطح,,
planar measure,اندازۀ هامنی,,
plane 1,صفحه، هامن,,
plane 2,مسطح، مسطحه,,
plane angle,زاویۀ مسطح,,
plane coordinates,مختصات صفحه‏ای,,
plane curve,خم مسطح,,
plane figure,شکل مسطح,,
plane geometry,هندسۀ مسطحه,,
plane of reflection → plane of symmetry,,,
plane of symmetry = plane of reflection,صفحۀ تقارن,,
plane polygon,چندضلعی مسطح,,
plane quadrilateral,چهارضلعی مسطح,,
plane trigonometry,مثلثات مسطحه,,
plane wave,موج تخت,,
Plateau problem,مسألۀ پلاتو,,
Platonism,افلاطون‌گرایی,,
plot,کرت,,
Plüker line coordinates,مختصات پلوکری خط,,
pluriharmonic distribution,توزیع چندگانه‌همساز,,
plus,به‌علاوه,,
plus infinity → positive infinity,,,
plus sign = positive sign,علامت به‌علاوه,,
Poincaré conjecture,حدس پوانکاره,,
Poincaré duality theorem,قضیۀ دوگانی پوانکاره,,
Poincaré group,گروه پوانکاره,,
Poincaré-Birkhoff fixed-point theorem,قضیۀ نقطهْ ثابت پوانکاره-برکاف,,
point,نقطه,,
point at infinity,نقطۀ بینهایت، نقطه در بینهایت,,
point by point plotting of a curve,رسم خم با نقطه‌یابی,,
point estimate,برآورد نقطه‌ای,,
point estimator,برآوردگر نقطه‌ای,,
point of adherence → adherent point,,,
point of contact = point of tangency,نقطۀ تماس,,
point of inflection → inflection point,,,
point of osculation = tacnode,نقطۀ بوسش,,
point of symmetry,نقطۀ تقارن,,
point set topology → general topology,,,
point spectrum,طیف نقطه‌ای,,
pointwise bounded sequence,دنبالۀ نقطه‌ای‏کراندار,,
pointwise convergence,همگرایی نقطه‌ای,,
pointwise convergent sequence,دنبالۀ نقطه‌ای‌همگرا,,
pointwise limit,حد نقطه‌ای,,
Poisson distribution,توزیع پواسون,,
Poisson equation,معادلۀ پواسون,,
Poisson formula,فرمول پواسون,,
Poisson index of dispersion,شاخص پراکندگی پواسون,,
Poisson kernel,هستۀ پواسون,,
Poisson process,فرایند پواسون,,
Poisson summation formula,فرمول مجموع‌یابی پواسون,,
Poisson transform,تبدیل پواسون,,
Poisson's integral formula,فرمول انتگرال پواسون,,
polar angle = vectorial angle,زاویۀ قطبی,,
polar axis,محور قطبی,,
polar coordinates,مختصات قطبی,,
polar curve,خم قطبی,,
polar equation,معادلۀ قطبی,,
polar form of a complex number,صورت قطبی عدد مختلط,,
polar moment of inertia,گشتاور لختی قطبی,,
polar of a quadratic form,قطبی صورت درجۀ دوم,,
polar of point,قطبی نقطه,,
polar plane,صفحۀ قطبی,,
polar triangle,مثلث قطبی,,
polarity,قطبیت,,
polarization 1,قطبی‌سازی,,
polarization 2,قطبش,,
polarization of light,قطبش نور,,
polarization on an abelian variety,قطبی‌سازی چندگونای آبلی,,
polarized abelian variety,چندگونای آبلی قطبیده,,
polarized light,نور قطبیده,,
pole,قطب,,
pole and polar,قطب و قطبی,,
pole of function,قطب تابع,,
pole of conic function,قطب مقطع مخروطی,,
polycyclic group,گروه چنددوری، گروه چندچرخه‌ای,,
polydisk,چندقرصی,,
polygamma function,تابع چندگاما,,
polygon,چندضلعی,,
polygonal curve,خم چندضلعی,,
polyharmonic function,تابع چندهمساز,,
polyhedral angle,کنج، زاویۀ چندوجهی,,
polyhedron,چندوجهی,,
polynomial,چندجمله‌ای,,
polynomial distribution = multinomial distribution,توزیع چندجمله‌ای,,
